team_id,club
112387,Al Ahli
111112,Côte d'Ivoire
111332,Estudiantes de Mérida
110770,FC Sion
112093,Gamba Osaka
1802,Gillingham
682,KV Oostende
1900,Moreirense FC
101106,Once Caldas
1889,Os Belenenses
209,SK Sturm Graz
110532,SV Waldhof Mannheim
101037,Çaykur Rizespor
1898,Boavista FC
269,Brøndby IF
110069,CD Mirandés
112116,CD O'Higgins
1395,Cameroon
110482,Hallescher FC
112224,Melbourne City FC
1375,Paraguay
1356,Romania
492,SV Wehen Wiesbaden
111487,Venezuela
1569,Wisła Płock
101097,Audax Italiano
112965,Central Córdoba
111707,Club Atlético Aldosivi
506,FC Erzgebirge Aue
111334,Melgar FBC
172,SpVgg Unterhaching
110145,Tiburones Rojos de Veracruz
110468,Viktoria Plzeň
101033,Atiker Konyaspor
112124,Castellammare di Stabia
110752,FC Botoşani
111730,Kawasaki Frontale
1905,RKC Waalwijk
112184,River Plate Montevideo
111724,Shandong Luneng TaiShan FC
100651,VVV-Venlo
112139,Al Nassr
111002,Centro Atlético Fénix
112531,Deportes Iquique
469,Extremadura UD
420,Górnik Zabrze
319,IFK Göteborg
2013,KAS Eupen
112523,La Equidad
112671,Nacional Asunción
1914,PEC Zwolle
114575,River Plate Asunción
919,SK Brann
110741,Spezia
111006,Sportivo Luqueño
1473,Ulsan Hyundai FC
114147,FC Hermannstadt
111399,Perth Glory
111400,Sydney FC
112410,Trapani
110831,CD Lugo
1893,Clube Sport Marítimo
568,Cruzeiro
1892,FC Paços de Ferreira
708,Hammarby IF
100081,KV Kortrijk
621,Livingston FC
111399,Perth Glory
111379,SG Sonnenhof Großaspach
114577,Always Ready
1813,Chamois Niortais Football Club
1413,China PR
837,Dundalk
468,Elche CF
113182,FC Voluntari
110197,FC Würzburger Kickers
112637,Gaz Metan Mediaş
1888,Gil Vicente FC
184,Hamilton Academical FC
111397,Melbourne Victory
110970,Oriente Petrolero
110581,Patronato
110746,Pogoń Szczecin
15005,SV Zulte-Waregem
306,Shamrock Rovers
114581,Universidad Católica del Ecuador
113147,Virtus Entella
665,Vitória de Setúbal
110913,Waasland-Beveren
271,Aarhus GF
111701,Al Ain FC
305,Bohemian FC
112516,CD Tondela
1815,Clermont Foot 63
110967,Club Blooming
114024,Club Plaza Colonia
422,Cork City
111465,Ecuador
111331,El Nacional
110776,Gazişehir Gaziantep F.K.
101025,Gençlerbirliği SK
1338,Greece
1805,Grenoble Foot 38
112444,Hokkaido Consadole Sapporo
2023,SD Ponferradina
113378,Sepsi OSK
917,Stabæk Fotball
110456,Valenciennes FC
920,Vålerenga Fotball
113387,Chindia Târgovişte
111993,Cittadella
112168,Cosenza
112429,Guangzhou R&F FC
111466,India
112903,Jaguares de Córdoba
111473,New Zealand
112578,Rionegro Águilas
111659,Rodez Aveyron Football
112080,Sol de América
112276,US Orléans Loiret Football
101148,Cerezo Osaka
1457,Denizlispor
710,Djurgårdens IF
10032,FC Lugano
111131,Finn Harps
111466,India
212,La Berrichonne de Châteauroux
1739,Le Mans FC
111473,New Zealand
110815,Politehnica Iaşi
15009,SCR Altach
1438,Santa Clara
100769,Zenit St. Petersburg
111092,Śląsk Wrocław
100831,AD Alcorcón
1823,AS Nancy Lorraine
1847,Ascoli
517,Botafogo
477,CD Numancia
111721,Cúcuta Deportivo
111130,Egypt
101150,FC Tokyo
1334,Finland
101144,Júbilo Iwata
112092,Nagoya Grampus
111398,Newcastle Jets
113958,Pordenone
114326,Raków Częstochowa
110987,SD Aucas
111773,Shenzhen FC
111085,LKS Lodz
110992,AC Mineros de Guayana
113391,Academica Clinceni
111082,Arka Gdynia
112528,Atlético Huila
111451,Bolivia
114598,Club Atlético Grau
111723,Deportivo Pasto
1886,Hungary
112667,Nacional Potosí
1843,Palermo
113160,Sagan Tosu
100804,St. Johnstone FC
100805,St. Mirren
111575,Urawa Red Diamonds
112912,Zamora FC
112533,CD Antofagasta
112655,Curicó Unido
112526,Envigado FC
110704,FC Barcelona B
700,IF Elfsborg
1341,Iceland
1477,Jeonbuk Hyundai Motors
112162,Jiangsu Suning FC
563,Sligo Rovers
111099,South Africa
112715,Unión Magdalena
112992,Atlético Bucaramanga
113217,Damac FC
113161,Shonan Bellmare
820,Aalborg BK
112992,Atlético Bucaramanga
666,CD Aves
897,FC Luzern
432,Helsingborgs IF
110930,Orlando Pirates
631,Ross County FC
101149,Shimizu S-Pulse
753,Waterford FC
607,Al Ittihad
111976,Avaí FC
110978,CD Cobresal
111396,Central Coast Mariners
1041,Corinthians
112659,Cusco FC
445,Derry City
1715,FC Thun
112978,Hebei China Fortune FC
112425,Hobro IK
110929,Kaizer Chiefs
114623,Llaneros de Guanare
435,Neuchâtel Xamax
110081,Northern Ireland
272,Odense Boldklub
112836,Vegalta Sendai
300,Viking FK
15040,WSG Tirol
113173,Östersunds FK
112171,AFC Eskilstuna
111393,Adelaide United
111674,Al Shabab
112916,Aragua FC
111395,Brisbane Roar
113677,CSA - AL
111059,Ceará Sporting Club
982,FC Seoul
702,IFK Norrköping
1474,Pohang Steelers
113157,Sanfrecce Hiroshima
112199,Sarpsborg 08 FF
112427,Western Sydney Wanderers
114023,Western United FC
110467,1. FC Brno
112393,Al Taawoun
112408,Al Wehda
112579,Alianza Petrolera
112476,Chapecoense
112627,FC Chambly Oise
918,FK Bodø/Glimt
1478,Jeju United FC
112527,Patriotas Boyacá FC
1786,Randers FC
324,Servette FC
922,Strømsgodset IF
112983,Tianjin Quanjian FC
112392,Al Raed
2056,Daegu FC
111821,FC Admira Wacker Mödling
111042,Goiás
111049,Guarani
1415,Australia
711,BK Häcken
299,Lillestrøm SK
1937,Notts County
1785,SV Mattersburg
270,Silkeborg IF
423,St. Patrick's Athletic
983,Suwon Samsung Bluewings
418,Tromsø IL
110854,CF Reus Deportiu
112096,Ettifaq FC
113458,IK Sirius
1439,Kalmar FF
111273,Red Star FC
112075,SKN St. Pölten
981,Seongnam FC
110714,Sevilla Atlético
2017,TSV Hartberg
705,Örebro SK
101116,Atlante
1598,Bahia
112537,Beijing Renhe FC
1891,CD Nacional
112165,Chongqing Dangdai Lifan FC SWM Team
312,Dinamo Moscow
1463,FK Haugesund
111052,Fortaleza
111779,Henan Jianye FC
110765,Incheon United FC
15001,Lyngby BK
1904,NAC Breda
1456,Odds BK
113183,Oita Trinita
2055,Sangju Sangmu FC
1447,SønderjyskE
111774,Tianjin TEDA FC
1446,AC Horsens
113345,Al Adalah
112389,Al Faisaly
112390,Al Fateh
113222,Al Hazem
110234,Amkar Perm
111022,Belgrano de Córdoba
838,Bray Wanderers
1327,Bulgaria
1924,Chesterfield
111070,Chivas USA
286,FC Vaduz
112169,Falkenbergs FF
518,GD Chaves
1596,GIF Sundsvall
112115,Gangwon FC
322,Grasshopper Club Zürich
113459,Kristiansund BK
111285,Limerick FC
113158,Matsumoto Yamaga
112420,Mjøndalen IF
112200,Ranheim Fotball
110700,VfL Sportfreunde Lotte
550,VfR Aalen
111989,AC Arles Avignon
110756,Arsenal Tula
2038,Avellino
742,Bursaspor
110364,Catania
110398,Club Olimpo
111046,Criciúma
180,Dundee FC
10020,Estoril Praia
112218,FC Krasnodar
1862,FC Lausanne-Sport
100424,FC Rot-Weiß Erfurt
113704,FC Tosno
111264,FC Ural Yekaterinburg
111588,Gyeongnam FC
147,Hereford
101145,Kashiwa Reysol
113219,Ohod Club
112345,Omiya Ardija
100087,Oud-Heverlee Leuven
110227,Rubin Kazan
110169,SC Fortuna Köln
780,SV Ried
110694,SV Werder Bremen II
110976,Santiago Wanderers
1814,Stade Lavallois Mayenne FC
110109,Terek Grozny
112552,US Quevilly Rouen Métropole
346,Yeovil Town
113948,AS Béziers
113058,Abha Club
113057,Al Fayha
112409,Carpi
110915,Cesena
112713,Club Atlético Sarmiento
112904,Club Atlético Temperley
112934,Cortuluá
111032,Dorados de Sinaloa
112513,FC Arouca
110822,FC Ufa
112424,FC Vestsjælland
111045,Figueirense
110911,Foggia
112679,Jaguares de Chiapas
111035,Lobos BUAP
112958,Osmanlıspor
110912,Padova
111043,Ponte Preta
111292,Portuguesa de Desportos
112668,San Luis de Quillota
111714,San Martin de Tucumán
111713,San Martín de San Juan
112508,Sandecja Nowy Sącz
112374,Sandnes Ulf
111114,Saudi Arabia
111057,Sport Club do Recife
113216,UCAM Murcia CF
112517,União da Madeira
112448,V-Varen Nagasaki
111660,Vendsyssel FF
1826,Alemannia Aachen
1901,Associação Académica de Coimbra
110392,Atlético de Rafaela
749,BB Erzurumspor
1848,Bari
135,Barnet
675,Beerschot AC
613,CS Sedan Ardennes
1745,Como
1867,Córdoba CF
373,Dagenham and Redbridge
635,De Graafschap
1572,Drogheda United
181,Dundee United
1445,Esbjerg fB
110780,Estudiantes Tecos
1971,Excelsior
100766,FC Anzhi Makhachkala
1820,FC Istres Ouest Provence
110231,FC Rostov
110822,FC Ufa
2045,FC Wacker Innsbruck
110576,Football Bourg En Bresse Peronnas 01
110316,GFC Ajaccio
110744,GKS Bełchatów
321,Halmstads BK
1941,Hartlepool United
1475,Jeonnam Dragons
974,Korea Republic
239,Lierse SK
2026,Lorca FC
1393,Nigeria
15019,Gimnàstic de Tarragona
1754,Partick Thistle FC
1570,Polonia Warszawa
110554,Quilmes Atlético Club
110710,Real Madrid Castilla
1902,Roda JC Kerkrade
874,Ruch Chorzów
647,SC Cambuur
110101,SKA Khabarovsk
110149,San Luis
110082,Serbia
1465,Sogndal Fotball
58,Sporting Club de Bastia
2007,Sporting Lokeren
1946,Torquay United
703,Trelleborgs FF
110526,TuS Koblenz
203,Urbs Reggina 1914
1948,York City
1870,Östers IF
112990,Al Batin
113186,Avispa Fukuoka
113876,Dalkurd FF
113720,FC Helsingør
112977,Guizhou Hengfeng FC
112970,Itagüí Leones FC
112925,Nueva Chicago
112968,Tigres FC
112708,AC Barnechea
112883,Al Khaleej
112676,Al Nahdha Dammam
112675,Al Orobah
112391,Al Qadisiyah
112407,Al Shoulla
112906,Albirex Niigata
112906,América FC
111965,Athlone Town
112119,Atlético Clube Goianiense
112889,Balıkesirspor
111985,Bohemians Praha
112019,Boyacá Chicó FC
112510,Bruk-Bet Termalica Nieciecza
112232,Bucaspor
112549,CA Bastia
111984,CD Trofense
112709,Club Deportes Temuco
111932,Cobh Ramblers
112909,Crucero del Norte
112525,Deportes Quindío
112586,Deportivo San Marcos de Arica
112585,Deportivo Ñublense
111988,Eskişehirspor
112236,FC Hradec Králové
112261,FC Orenburg
112398,FC Pro Vercelli 1892
112235,FK Ústí nad Labem
112834,Fortaleza CEIF
112107,Gallipoli
112078,Gold Coast United
112077,Grêmio Barueri
112281,Gubbio
112258,GwangJu FC
112394,Hajer
111929,Ipatinga
112130,Jönköpings Södra IF
